Sample,% Duplication,Reads After Filtering,GC content,% PF,% Adapter
SRR12475103,58.375,34.915071999999995,47.8814,99.9976228596357,0.030679430822093613
SRR12475104,31.220100000000002,22.002409999999998,53.0295,99.99448272702715,0.03480335784687104
SRR12475105,33.7264,20.733416,52.547900000000006,99.99603554275784,0.028050223017600164
SRR12475106,19.9939,20.564434,56.99419999999999,99.9960904901757,0.03383379273315485
SRR12475107,25.1882,27.462508,53.1888,99.99486599107964,0.040183632939772104
SRR12475108,34.251,34.19708,49.713499999999996,99.99661386063224,0.03218294463007129
SRR12475109,21.0697,41.65142,51.214800000000004,99.9962163586024,0.032501863731482845
SRR12475110,27.1454,51.476431999999996,50.662,99.99702396932403,0.033369618114655816
SRR12475111,21.8719,45.62748,51.0419,99.99526185193388,0.03193976406827825
SRR12475112,25.639,69.030608,49.4095,99.99554130718154,0.03991095014106591
SRR12475113,18.2421,56.58157,49.7538,96.17330935310984,26.489572403370605
SRR12475114,18.2978,86.278668,49.8587,96.27662159985292,22.768327466260594
SRR12475115,18.5623,51.747532,50.0068,94.79210248689188,21.04228951559237
SRR12475116,18.381700000000002,72.07232599999999,49.769999999999996,95.7866555141124,22.116832982569942
SRR12475117,20.2808,54.373546,49.9688,95.98121764596252,22.454713923839343
SRR12475118,18.9473,52.225587999999995,50.712999999999994,94.22523194301337,18.784566829519473
SRR12475119,17.3785,56.901052,51.546800000000005,95.90245542152007,22.62653058500293
SRR12475120,19.3633,56.180403999999996,49.9408,95.09789935024465,27.054335143170903
SRR12475121,20.8036,51.505528,50.279300000000006,95.56720059680971,22.911829366990357
SRR12475122,17.310200000000002,58.098264,50.7192,96.49669331992725,23.439320318768164
SRR12475123,19.575799999999997,33.67472,54.3494,94.32686751243627,21.433858739054283
SRR12475124,11.960899999999999,8.633502,55.405800000000006,66.00196595374214,42.11359445239595
SRR12475125,15.3217,30.477169999999997,56.6371,93.25242587441906,23.232688671183137
SRR12475126,16.8058,35.747555999999996,55.941700000000004,93.41645204674937,23.320904132383532
SRR12475127,12.296899999999999,12.072441999999999,57.5023,87.37159082701362,22.344784681640203
SRR12475128,16.5523,37.88072,55.80349999999999,94.38557999135496,24.182914979942698
SRR12475129,16.1127,67.231548,50.101,96.57085271780147,24.562000291817384
SRR12475130,17.9921,41.381454,49.8951,96.47008814324032,26.300335194968106
SRR12475131,19.575899999999997,53.74249,49.3889,95.58409831750969,23.679333160528707
SRR12475132,16.290499999999998,62.435607999999995,50.625,95.94376427079484,25.1156738452116
SRR12475133,17.6824,58.921063999999994,49.6755,95.24916664142145,30.03504239562136
SRR12475134,19.4195,54.371144,50.064600000000006,94.14169444974273,28.299961436827246
SRR12475135,19.4792,51.336186,48.8851,94.37426208330318,27.491619663542345
SRR12475136,29.7273,54.031028,48.4197,93.15025728152897,32.25031223620428
SRR12475137,17.832700000000003,50.809473999999994,49.7663,94.75391327829182,27.842835179819836
SRR12475138,17.5395,61.044902,49.909,95.46570857485334,27.83104095368965
SRR12475139,27.2115,40.714188,48.1353,92.44441485639416,29.761219590369187
SRR12475140,17.9623,42.505572,49.3115,92.18400343113764,25.935727154463308
SRR12475141,18.25,20.933712,54.5781,87.55233283292783,24.350456391738636
SRR12475142,15.3217,13.845443999999999,58.6063,86.58702708395376,19.886879506117683
SRR12475143,15.7788,23.797725999999997,57.011900000000004,91.5944515246622,25.102199154294592
SRR12475144,15.7199,41.954632,57.1049,94.2757542924214,22.6552927755803
SRR12475145,20.3551,14.131758,54.5093,84.25393803878848,22.37256403456641
SRR12475146,18.9131,16.207516,55.4992,86.56904782099926,24.17234570454503
SRR12475147,23.630399999999998,41.752294,50.1131,93.56058020596359,23.92424129227423
SRR12475148,33.4017,32.492841999999996,48.7672,92.14246900594487,27.127200329358537
SRR12475149,17.9988,51.28835,52.124700000000004,93.80185878871038,25.902752599761275
SRR12475150,17.2759,44.134546,53.1861,94.5010385906942,25.09687767583508
SRR12475151,16.2252,27.936522,53.4057,92.65279332869902,55.43730996184644
SRR12475152,16.788600000000002,24.055642,52.9805,91.24135221574971,56.79367897692252
SRR12475153,13.2605,12.41949,55.400499999999994,81.25254169957465,57.8863474946235
SRR12475154,12.5007,21.362562,55.536300000000004,80.68301157790775,67.29570592001028
SRR12475155,10.2901,7.436173999999999,54.6332,71.6014331506108,56.213551380721796
SRR12475156,15.3936,13.398693999999999,53.195800000000006,79.77549938971748,59.20668036081093
SRR12475157,11.7174,8.187828,56.3288,78.21341821979159,37.17358012152947
SRR12475158,12.327200000000001,22.668022,55.328900000000004,81.52859713115144,63.94623922915772
SRR12475159,14.1487,34.71271,51.9717,90.60697023557174,62.801655762051624
SRR12475160,16.2611,31.209086,53.108900000000006,86.79524493857103,58.87384307393987
SRR12475161,16.4895,41.180164,52.010999999999996,91.56997045268072,59.11311256741918
SRR12475162,16.1477,34.239771999999995,52.142500000000005,92.33826753055301,59.45695244364173
SRR12475163,15.4437,32.713408,51.790000000000006,91.45118100348422,59.78467908648027
SRR12475164,14.7009,27.322228,52.283699999999996,89.82716059773456,60.10725974410421
SRR12475165,12.5471,49.0531,52.738600000000005,88.98598380640892,77.27087675169767
SRR12475166,12.6542,44.511936,53.6365,91.24973780422705,78.7490510522025
SRR12475167,14.2634,41.721005999999996,53.3271,94.3618694960673,71.20351229388807
SRR12475168,14.616999999999999,35.971576,53.377399999999994,93.96170594800908,67.71885757810927
SRR12475169,13.7845,32.766923999999996,54.586800000000004,93.4801608888393,68.89721511949752
SRR12475170,15.3835,38.293214,54.434099999999994,94.24610014115792,68.26777654921653
SRR12475171,15.242,33.45332,54.606500000000004,94.62998567084955,68.15643893002975
SRR12475172,24.595200000000002,15.637483999999999,49.2195,75.73839623618412,83.30059041863626
SRR12475173,14.208000000000002,31.442804,54.2605,93.02549138611657,71.35375403969479
SRR12475174,13.9004,28.150398,54.2614,87.32426356751705,75.98532017678772
SRR12475175,22.261400000000002,32.96076,50.6961,94.6656340997971,20.972153436128192
SRR12475176,34.090399999999995,33.572578,49.6105,92.25561366788507,23.54618021290202
SRR12475177,20.3275,36.21993,51.5378,95.65998119546155,22.07878362103573
SRR12475178,20.180699999999998,35.69444,53.273,94.75062423046262,23.312162162736104
SRR12475179,21.8942,40.313773999999995,51.23910000000001,95.46311568596556,22.021518227722556
SRR12475180,29.465999999999998,32.760467999999996,50.045700000000004,94.24588203737125,22.281053775886033
SRR12475181,21.6391,45.745154,51.0774,95.32223913592686,22.242715838454053
SRR12475182,31.1038,35.95343,50.250099999999996,93.53048285168386,21.010231076556202
SRR12475183,28.1519,31.176012,48.1709,93.79781163796441,21.74447916630939
SRR12475184,20.430300000000003,62.359415999999996,49.647000000000006,96.81315916157901,24.611346484314257
SRR12475185,17.035600000000002,59.624576,50.6076,96.98379157938199,22.582247231847386
SRR12475186,18.258,54.839332,50.5878,96.53997840675056,21.148633768384673
SRR12475187,17.5808,49.659096,50.5193,96.07563174263551,24.76251513325155
SRR12475188,19.4726,54.894382,49.7204,96.57684663712625,27.05469444409551
SRR12475189,16.939799999999998,35.473132,53.1633,94.80444294519184,22.43332618331663
SRR12475190,17.439,37.33965,53.878800000000005,94.73272005965121,22.439009848591134
SRR12475191,17.4118,32.113569999999996,56.3832,93.54088537688854,19.858995290910396
SRR12475192,17.8976,22.435564,54.9458,92.45780840240056,22.03075926166167
SRR12475193,19.591,36.139846,55.5368,94.27077488663852,22.458088845184346
SRR12475194,17.8752,26.368114,56.6799,93.54783822339346,19.528619277767547
SRR12475195,18.6384,34.054528,54.7067,94.50205482033205,22.042882743621792
SRR12475196,19.0459,42.320029999999996,53.9419,95.3316150227381,21.467355702907973
SRR12475197,19.1964,43.360972,54.277,94.67976292509191,22.41785295392055
SRR12475198,16.1911,29.007369999999998,55.6843,93.6484213144407,20.440283694244435
SRR12475199,16.355900000000002,31.32239,57.1383,93.95038670291939,19.419517897322823
SRR12475200,17.9473,42.136255999999996,56.0446,95.51214426725248,19.843776393411172
SRR12475201,20.2569,63.128811999999996,53.97,96.09802700781373,21.618719754734588
SRR12475202,17.9283,28.74307,56.8798,93.20031387706265,21.428173060398635
SRR12475203,17.2083,40.42181,55.636399999999995,94.97886027839544,22.155176853903395
SRR12475204,14.4455,26.912713999999998,57.239399999999996,92.92700347990517,24.6083906797296
SRR12475205,17.5749,30.250885999999998,56.426,92.74853979749341,22.1381980832489
SRR12475206,19.352800000000002,41.461244,56.0079,93.78982073923434,23.764100568807113
SRR12475207,23.82,34.282162,52.55800000000001,93.32345459245485,24.04129808767583
SRR12475208,20.6567,37.25835,53.4478,93.24616124642053,23.95177763684843
SRR12475209,18.5417,34.0997,54.3964,92.78061430775638,23.600815214108522
SRR12475210,16.5382,29.314656,55.4859,93.3680960386301,26.88628540186145
SRR12475211,22.5864,25.808804,54.1982,90.38774743435395,24.493735113873527
SRR12475212,17.1425,36.963786,58.625499999999995,94.12401871246438,24.073212735875433
SRR12475213,23.2903,23.774971999999998,53.7825,90.40679875137701,24.98779934572399
SRR12475214,20.802200000000003,26.711185999999998,53.963899999999995,92.41040826427192,25.032667410576053
SRR12475215,18.610699999999998,39.166647999999995,54.459999999999994,93.56644017525393,24.48856917765189
SRR12475216,15.9055,27.646638,55.8226,93.19873911211961,23.882803958552564
SRR12475217,19.442400000000003,32.506448,54.860200000000006,92.33624815605582,23.410370422720685
SRR12475218,26.968700000000002,28.335216,51.883100000000006,91.72455612256988,22.74262845774824
SRR12475219,27.5865,45.669813999999995,51.2056,93.26262117757496,21.610419839929897
SRR12475220,33.8292,42.941776,48.8,94.37424005396208,24.503521701419377
SRR12475221,22.017500000000002,52.204744,51.3039,94.47079393170425,23.805946102903654
SRR12475222,19.7149,45.489757999999995,51.71,94.68340979647351,24.97695240768974
SRR12475223,17.5627,32.153037999999995,52.317,93.02342765335901,56.681266059129186
SRR12475224,18.0154,29.851684,50.991299999999995,92.75971269913548,56.308886276917214
SRR12475225,15.0499,23.727648,54.616299999999995,89.85820310618301,61.2561528484655
SRR12475226,13.6952,21.266156,57.054899999999996,88.53759252123038,58.74260887637601
SRR12475227,16.159100000000002,22.118506,53.478,88.83388652094088,59.87730456570348
SRR12475228,18.5362,17.213826,52.762100000000004,86.18825078140499,63.58546146629256
SRR12475229,14.2174,27.908946,56.1322,86.42485250241447,61.30276311090681
SRR12475230,16.1029,25.00036,54.44799999999999,90.77928170656783,57.16279250478945
SRR12475231,16.7657,37.522242,50.7552,90.7242159751446,59.100531367449946
SRR12475232,18.0241,32.881454,50.9139,93.4652860036352,55.60913590729745
SRR12475233,18.4604,37.839388,50.793,93.72450771050111,54.94770117607335
SRR12475234,17.335900000000002,32.666384,51.6305,92.78694378692964,56.670299022905255
SRR12475235,18.529899999999998,25.605762,50.2128,91.32897411705827,56.0362821150626
SRR12475236,16.8296,18.866982,51.818,89.9986920196695,56.63424605428319
SRR12475237,15.088099999999999,39.0315,54.7576,93.07369021163281,72.23552790737037
SRR12475238,13.8734,39.441356,54.101299999999995,90.97786633513479,74.49471536878424
SRR12475239,15.2674,34.525456,54.5084,91.6649479992481,70.21432455308452
SRR12475240,15.1038,32.383151999999995,53.7759,90.43384079150002,69.3941740248017
SRR12475241,13.525899999999998,31.261276,54.6233,89.1609571947902,73.82007448600493
SRR12475242,15.1228,32.220034,54.4705,93.9886860144691,68.36252570611187
SRR12475243,15.5312,30.176323999999997,54.8757,94.50710887768501,66.40115118544766
SRR12475244,15.0831,20.922888,54.637299999999996,86.58610469943704,70.17828730170712
SRR12475245,13.935500000000001,31.14982,55.745599999999996,91.9029303544063,72.24300384531163
SRR12475246,14.043600000000001,26.793546,54.1452,88.58197538838006,75.93347888080527
