Sample,Reads mapped
SRR12475103,38.320319
SRR12475104,24.521226
SRR12475105,23.280265
SRR12475106,27.900104
SRR12475107,31.534969999999998
SRR12475108,39.099242
SRR12475109,46.754743
SRR12475110,58.187627
SRR12475111,51.070848
SRR12475112,78.190702
SRR12475113,63.389855999999995
SRR12475114,96.72375699999999
SRR12475115,58.027252999999995
SRR12475116,79.620558
SRR12475117,60.673922999999995
SRR12475118,58.295016
SRR12475119,64.078693
SRR12475120,62.928931999999996
SRR12475121,57.771386
SRR12475122,65.133163
SRR12475123,42.748771999999995
SRR12475124,9.66451
SRR12475125,34.588108
SRR12475126,40.504954
SRR12475127,13.490839
SRR12475128,42.934892
SRR12475129,76.57757
SRR12475130,46.861813
SRR12475131,60.608636
SRR12475132,69.543555
SRR12475133,66.99771799999999
SRR12475134,61.500100999999994
SRR12475135,58.321138999999995
SRR12475136,62.100696
SRR12475137,56.229186999999996
SRR12475138,68.248063
SRR12475139,46.255218
SRR12475140,47.635324
SRR12475141,23.801199999999998
SRR12475142,15.770104
SRR12475143,27.537874
SRR12475144,48.23026
SRR12475145,16.791928
SRR12475146,19.092544
SRR12475147,47.081029
SRR12475148,39.205366999999995
SRR12475149,59.084593999999996
SRR12475150,49.719221
SRR12475151,31.814622999999997
SRR12475152,27.668653
SRR12475153,13.843349
SRR12475154,24.843864
SRR12475155,8.198946
SRR12475156,15.179723
SRR12475157,8.81334
SRR12475158,25.769246
SRR12475159,40.105942
SRR12475160,35.591996
SRR12475161,47.011994
SRR12475162,39.73139
SRR12475163,37.267306
SRR12475164,31.830789
SRR12475165,58.347367
SRR12475166,53.161049
SRR12475167,48.774957
SRR12475168,41.917739
SRR12475169,38.442654
SRR12475170,43.615694
SRR12475171,39.650856999999995
SRR12475172,20.205337
SRR12475173,37.109166
SRR12475174,32.461701
SRR12475175,36.078058
SRR12475176,35.718365
SRR12475177,40.067783999999996
SRR12475178,39.302417
SRR12475179,44.907271
SRR12475180,35.340064
SRR12475181,51.020879
SRR12475182,40.080638
SRR12475183,34.202318
SRR12475184,70.03022299999999
SRR12475185,66.686838
SRR12475186,61.247983
SRR12475187,55.822451
SRR12475188,61.318687
SRR12475189,39.728308
SRR12475190,42.460496
SRR12475191,35.396618
SRR12475192,25.595073
SRR12475193,41.249421
SRR12475194,30.539799
SRR12475195,40.099554999999995
SRR12475196,48.287126
SRR12475197,49.456509999999994
SRR12475198,33.460161
SRR12475199,36.426603
SRR12475200,48.277352
SRR12475201,71.71100899999999
SRR12475202,32.930729
SRR12475203,46.410832
SRR12475204,30.476111999999997
SRR12475205,34.717116
SRR12475206,47.545409
SRR12475207,38.791812
SRR12475208,42.580483
SRR12475209,39.098943
SRR12475210,33.973938
SRR12475211,29.723594
SRR12475212,42.116918
SRR12475213,28.172939
SRR12475214,30.62239
SRR12475215,44.806629
SRR12475216,32.182646999999996
SRR12475217,37.230703
SRR12475218,32.898623
SRR12475219,51.531061
SRR12475220,50.391422999999996
SRR12475221,58.784817
SRR12475222,50.425034
SRR12475223,35.616023
SRR12475224,33.38892
SRR12475225,26.91577
SRR12475226,23.755806
SRR12475227,25.218949
SRR12475228,20.034620999999998
SRR12475229,32.060995
SRR12475230,28.229089
SRR12475231,42.950291
SRR12475232,36.978840999999996
SRR12475233,42.766611999999995
SRR12475234,37.444252
SRR12475235,28.872182
SRR12475236,21.810264999999998
SRR12475237,45.411353999999996
SRR12475238,46.045179999999995
SRR12475239,40.017787
SRR12475240,37.252604999999996
SRR12475241,36.138728
SRR12475242,36.819320999999995
SRR12475243,35.006009
SRR12475244,25.719504
SRR12475245,36.250021
SRR12475246,31.84442
