Sample,featurecounts-Assigned,featurecounts-percent_assigned
SRR12475103,13.942188,69.36297370610595
SRR12475104,7.760758,59.43459631768181
SRR12475105,7.579317,61.94634146102251
SRR12475106,6.8838669999999995,47.89351432477885
SRR12475107,10.07263,62.1248886268853
SRR12475108,12.797671,63.02516969290962
SRR12475109,15.539741999999999,64.52055717623128
SRR12475110,19.378078,64.61553246045474
SRR12475111,16.824284,63.52677370052579
SRR12475112,25.295621,62.63031092988588
SRR12475113,20.605999,63.2714555908268
SRR12475114,31.160515,62.361158158051545
SRR12475115,18.946002999999997,62.92967657917973
SRR12475116,26.911649999999998,65.69415497011356
SRR12475117,20.391130999999998,65.40185301173102
SRR12475118,20.106783,67.01284176143257
SRR12475119,20.981776,63.10817422601804
SRR12475120,21.019766999999998,64.98133450758566
SRR12475121,19.522047,65.556543389969
SRR12475122,21.304602,63.44713896898394
SRR12475123,11.914443,53.853269715252274
SRR12475124,2.960073,53.97800815120763
SRR12475125,11.514505999999999,64.71826814015942
SRR12475126,13.455639999999999,64.61334223423223
SRR12475127,4.3205029999999995,59.66043356762517
SRR12475128,14.401639,65.33269907341104
SRR12475129,24.459927,61.92616414573766
SRR12475130,15.616676,64.6476413118631
SRR12475131,19.672791999999998,62.75021205891738
SRR12475132,23.384722999999997,65.24219383318514
SRR12475133,22.066813,64.00575340227964
SRR12475134,20.123217999999998,63.00086167764816
SRR12475135,18.817163,62.70996341611674
SRR12475136,20.159399999999998,63.02269400336537
SRR12475137,18.899607,65.32362984207218
SRR12475138,22.327818,63.57423660964556
SRR12475139,15.008189,62.819962131023175
SRR12475140,15.431738999999999,62.78503451567191
SRR12475141,7.391063,58.407498475815146
SRR12475142,5.274862,64.92584535969921
SRR12475143,8.832982,62.07927552993446
SRR12475144,15.719477999999999,63.56959496330917
SRR12475145,5.129144999999999,58.69340434778927
SRR12475146,5.789969,58.437844106375614
SRR12475147,15.737362,64.90628954987821
SRR12475148,11.848181,58.544188179729495
SRR12475149,18.830882,61.93770279906163
SRR12475150,16.605524,64.8936861588695
SRR12475151,9.928063,59.75342359726448
SRR12475152,8.547282,58.87231314821896
SRR12475153,4.181418,54.92520554829671
SRR12475154,7.458583,56.48491653298176
SRR12475155,2.4476459999999998,52.54282440924244
SRR12475156,4.646248,56.69997866847341
SRR12475157,2.851113,57.968844861512615
SRR12475158,8.086409999999999,59.02198249356327
SRR12475159,12.380104,59.08555702918215
SRR12475160,11.189643,59.99233746342911
SRR12475161,14.929043,60.8543875972683
SRR12475162,12.144921,58.3575666567153
SRR12475163,11.995144,61.94471963624556
SRR12475164,9.662602,58.32981748347571
SRR12475165,16.547411999999998,54.30506669705163
SRR12475166,15.798820999999998,57.339220260518054
SRR12475167,14.786311999999999,58.25918406948717
SRR12475168,12.583242,57.52134095332829
SRR12475169,11.926473999999999,59.67626189062055
SRR12475170,13.883182,60.862263572187956
SRR12475171,11.839271,57.23146156883416
SRR12475172,5.306842,49.41011946022469
SRR12475173,10.988579999999999,56.69697104629026
SRR12475174,9.959818,57.574493709495876
SRR12475175,12.324112999999999,65.5266303707192
SRR12475176,12.867370999999999,68.2627842476509
SRR12475177,13.507496999999999,65.05618360667611
SRR12475178,13.768308,67.27049477446297
SRR12475179,14.957367999999999,64.38289286566254
SRR12475180,12.508462999999999,67.53453539060924
SRR12475181,17.058046,64.8860740474472
SRR12475182,13.663756999999999,65.5146844398227
SRR12475183,11.697472,65.01971523658895
SRR12475184,23.437025,64.90140767533302
SRR12475185,22.127857,64.17449368729221
SRR12475186,20.398839,64.34296994592769
SRR12475187,18.309480999999998,63.207932513142
SRR12475188,20.951202,66.26619929799813
SRR12475189,13.058340999999999,63.05358946772775
SRR12475190,13.879107,63.13167348817661
SRR12475191,11.557414999999999,61.08588699236568
SRR12475192,8.28671,62.48635631620274
SRR12475193,13.608402,63.91209359745419
SRR12475194,9.741086,61.70362189651607
SRR12475195,12.088863,57.79233733476542
SRR12475196,15.585099999999999,61.8931501937956
SRR12475197,16.34545,63.88825612571644
SRR12475198,10.758485,62.04610143936083
SRR12475199,11.53305,60.97238290278989
SRR12475200,15.737684,63.13482198856136
SRR12475201,23.675770999999997,64.08455507765657
SRR12475202,10.926743,64.27590405741262
SRR12475203,14.628834999999999,60.4504358273927
SRR12475204,10.272480999999999,65.05466121546966
SRR12475205,11.393284,63.362196996741204
SRR12475206,15.580706999999999,63.441605486773945
SRR12475207,13.125202999999999,65.53010840983679
SRR12475208,13.897696999999999,63.24438288851285
SRR12475209,12.612687,62.350824311403755
SRR12475210,10.516772999999999,59.37753698783228
SRR12475211,9.513085,61.948581638911826
SRR12475212,14.43155,66.65339284292419
SRR12475213,8.610883,58.92063000701295
SRR12475214,9.757451,60.80630531680041
SRR12475215,14.283652,61.354151413484345
SRR12475216,10.133944,60.93161551805868
SRR12475217,12.021251,62.46256143634392
SRR12475218,10.715365,63.04698308250825
SRR12475219,17.367075,64.88121133486716
SRR12475220,15.804425,60.45653401499009
SRR12475221,20.02311,65.91436328401508
SRR12475222,17.917040999999998,68.76802916123155
SRR12475223,12.009509,64.2302957222746
SRR12475224,10.892489,62.28734931649965
SRR12475225,8.47402,59.41148554374176
SRR12475226,7.891979,62.51167542508369
SRR12475227,7.755185999999999,58.064197321593895
SRR12475228,5.890172,54.9932096106277
SRR12475229,9.587284,55.841996585508966
SRR12475230,8.918161,59.6023436571132
SRR12475231,13.450507,59.9562892779685
SRR12475232,12.065617999999999,62.47807618600125
SRR12475233,13.539406,60.297522990218546
SRR12475234,11.571005,58.70196223564533
SRR12475235,9.263660999999999,61.42017879203755
SRR12475236,6.586473,57.307629293772045
SRR12475237,13.474108999999999,56.2871117425896
SRR12475238,13.808257,57.173460960937646
SRR12475239,11.795133,55.74184374170764
SRR12475240,11.326806,57.93604113647017
SRR12475241,11.078889,58.41731004653342
SRR12475242,11.409006999999999,58.96936153571857
SRR12475243,10.564885,57.28957132455744
SRR12475244,6.717034,49.18598233692498
SRR12475245,10.519275,55.355497827041724
SRR12475246,9.140865,54.827421529230804
